,Western_diet
adocbl,1.0
ala__L,0.3
amylose300,7.8365e-05
arabinogal,3.6528e-05
arachd,0.00386729
arg__L,0.15
asn__L,0.225
asp__L,0.225
avite1,1.0
ca2,1.0
cbl1,1.0
chol,1.0
chsterol,0.00575975
cl,1.0
cobalt2,1.0
cu2,1.0
cys__L,0.3
dextran40,0.00029387
fe2,1.0
fe3,1.0
fe3dcit,1.0
fol,1.0
fru,0.29486781
gal,0.29486781
glc__D,0.29486781
gln__L,0.18
glu__L,0.18
gly,0.45
glyc,2.09119895
h2s,1.0
hdca,0.46058299
hdcea,0.04243272
his__L,0.15
ile__L,0.15
inulin,0.00078365
k,1.0
lcts,0.14743391
leu__L,0.15
levan1000,2.351e-05
lmn30,0.00078365
lnlc,0.41728993
lnlnca,0.02041092
lnlncg,0.02041092
lys__L,0.15
malt,0.14743391
man,0.29486781
melib,0.14743391
met__L,0.18
mg2,1.0
mn2,1.0
mobd,1.0
mqn8,1.0
na1,1.0
nac,1.0
ocdca,0.19670876
ocdcea,0.79184823
octa,0.01503944
oligofru4,0.0058774
orot,1.0
pect,5.5644e-05
phe__L,0.099
pheme,1.0
phllqne,1.0
pime,1.0
pnto__R,1.0
pro__L,0.18
pullulan1200,1.9591e-05
pydam,1.0
pydx,1.0
pydxn,1.0
raffin,0.00783653
retinol,1.0
ribflv,1.0
sel,1.0
ser__L,0.3
so4,1.0
spmd,1.0
starch1200,1.9591e-05
strch1,0.21444932
stys,0.0058774
sucr,0.14743391
thf,1.0
thm,1.0
thr__L,0.225
trp__L,0.081
ttdca,0.07979793
tyr__L,0.099
val__L,0.18
vitd3,1.0
zn2,1.0
